"MONDAY","MAANANTAI"
"TUESDAY","TIISTAI"
"WEDNESDAY","KESKIVIIKKO"
"THURSDAY","TORSTAI"
"FRIDAY","PERJANTAI"
"SATURDAY","LAUANTAI"
"SUNDAY","SUNNUNTAI"
"%1 service points","%1 Budbee pakettiautomaattia"
"%1 boxes in postcode <u>%2</u>","%1 pakettiautomaattia postinumeroalueella <u>%2</u>"
"Choose ParcelShop","Valitse Budbee pakettiautomaatti"
"Find a Budbee Box","Löydä Budbee pakettiautomaatti"
"Find a Service Point","Valitse Budbee pakettiautomaatti"
"Search for parcelshops","Etsi Budbee pakettiautomaatteja"
"Change Location","Vaihda sijaintia"
"Choose Another ParcelShop","Valitse toinen Budbee pakettiautomaatti"
"You must choose a Service Point!","Sinun tulee valita Budbee pakettiautomaatti!"
"Sorry, we could not find any service points in your area","Pahoittelut, alueeltasi ei löytynyt Budbee pakettiautomaattia"
"Print Budbee Shipment Labels","Tulosta Budbee lähetystunnuksia"
"Print Budbee Shipment Label","Tulosta Budbee lähetystunnus"
